Room{roomNumber=1, keyNumber=1, occupiedStatus=true, reservationStatus=false, reservationDate='-'}
Room{roomNumber=2, keyNumber=2, occupiedStatus=false, reservationStatus=false, reservationDate='-'}
Room{roomNumber=3, keyNumber=3, occupiedStatus=false, reservationStatus=false, reservationDate='-'}
Room{roomNumber=4, keyNumber=4, occupiedStatus=false, reservationStatus=false, reservationDate='-'}
Room{roomNumber=5, keyNumber=5, occupiedStatus=false, reservationStatus=false, reservationDate='-'}
Room{roomNumber=6, keyNumber=6, occupiedStatus=false, reservationStatus=false, reservationDate='-'}
Room{roomNumber=7, keyNumber=7, occupiedStatus=false, reservationStatus=false, reservationDate='-'}
Room{roomNumber=8, keyNumber=8, occupiedStatus=false, reservationStatus=false, reservationDate='-'}
Room{roomNumber=9, keyNumber=9, occupiedStatus=false, reservationStatus=false, reservationDate='-'}
Room{roomNumber=10, keyNumber=10, occupiedStatus=false, reservationStatus=false, reservationDate='-'}
Room{roomNumber=11, keyNumber=11, occupiedStatus=false, reservationStatus=false, reservationDate='-'}
Room{roomNumber=12, keyNumber=12, occupiedStatus=false, reservationStatus=false, reservationDate='-'}
Room{roomNumber=13, keyNumber=13, occupiedStatus=false, reservationStatus=false, reservationDate='-'}
Room{roomNumber=14, keyNumber=14, occupiedStatus=false, reservationStatus=false, reservationDate='-'}
Room{roomNumber=15, keyNumber=15, occupiedStatus=false, reservationStatus=false, reservationDate='-'}
Room{roomNumber=16, keyNumber=16, occupiedStatus=false, reservationStatus=false, reservationDate='-'}
Room{roomNumber=17, keyNumber=17, occupiedStatus=false, reservationStatus=false, reservationDate='-'}
Room{roomNumber=18, keyNumber=18, occupiedStatus=false, reservationStatus=false, reservationDate='-'}
Room{roomNumber=19, keyNumber=19, occupiedStatus=false, reservationStatus=false, reservationDate='-'}
Room{roomNumber=20, keyNumber=20, occupiedStatus=false, reservationStatus=false, reservationDate='-'}
Room{roomNumber=21, keyNumber=21, occupiedStatus=false, reservationStatus=false, reservationDate='-'}
Room{roomNumber=22, keyNumber=22, occupiedStatus=false, reservationStatus=false, reservationDate='-'}
Room{roomNumber=23, keyNumber=23, occupiedStatus=false, reservationStatus=false, reservationDate='-'}
Room{roomNumber=24, keyNumber=24, occupiedStatus=false, reservationStatus=false, reservationDate='-'}
Room{roomNumber=25, keyNumber=25, occupiedStatus=false, reservationStatus=false, reservationDate='-'}
